iter	Passed	Remaining
760	5647	1773
761	5654	1766
762	5661	1758
763	5669	1751
764	5678	1744
765	5686	1737
766	5694	1729
767	5702	1722
768	5709	1715
769	5719	1708
770	5727	1701
771	5735	1693
772	5741	1686
773	5749	1678
774	5757	1671
775	5764	1663
776	5773	1656
777	5779	1649
778	5788	1642
779	5795	1634
780	5805	1627
781	5812	1620
782	5820	1613
783	5827	1605
784	5834	1598
785	5842	1590
786	5850	1583
787	5857	1575
788	5865	1568
789	5873	1561
790	5898	1558
791	5906	1551
792	5915	1544
793	5922	1536
794	5930	1529
795	5936	1521
796	5944	1514
797	5953	1506
798	5962	1499
799	5969	1492
800	5977	1484
801	5983	1477
802	5990	1469
803	5997	1462
804	6004	1454
805	6013	1447
806	6032	1442
807	6045	1436
808	6061	1431
809	6081	1426
810	6099	1421
811	6111	1414
812	6120	1407
813	6143	1403
814	6152	1396
815	6160	1389
816	6169	1381
817	6177	1374
818	6185	1367
819	6194	1359
820	6204	1352
821	6213	1345
822	6223	1338
823	6231	1330
824	6241	1323
825	6248	1316
826	6255	1308
827	6262	1300
828	6270	1293
829	6277	1285
830	6286	1278
831	6294	1270
832	6304	1263
833	6310	1256
834	6319	1248
835	6327	1241
836	6337	1234
837	6345	1226
838	6353	1219
839	6361	1211
840	6369	1204
841	6378	1197
842	6386	1189
843	6393	1181
844	6400	1174
845	6409	1166
846	6416	1159
847	6424	1151
848	6432	1144
849	6439	1136
850	6449	1129
851	6456	1121
852	6464	1114
853	6471	1106
854	6479	1098
855	6486	1091
856	6493	1083
857	6501	1075
858	6509	1068
859	6515	1060
860	6522	1052
861	6530	1045
862	6537	1037
863	6544	1030
864	6552	1022
865	6560	1015
866	6568	1007
867	6577	1000
868	6584	992
869	6593	985
870	6603	977
871	6612	970
872	6620	963
873	6629	955
874	6639	948
875	6647	941
876	6655	933
877	6664	926
878	6673	918
879	6682	911
880	6692	904
881	6699	896
882	6706	888
883	6712	880
884	6719	873
885	6727	865
886	6735	858
887	6743	850
888	6750	842
889	6757	835
890	6764	827
891	6771	819
892	6778	812
893	6785	804
894	6792	796
895	6799	789
896	6806	781
897	6814	773
898	6823	766
899	6835	759
